test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
4,8,0.301,1.009,0.458,0.539,0.304,1.011,0.457,0.646,0.39,1.128,0.314,8.493,0.39,1.128,0.314,8.461
7,8,0.292,0.999,0.438,0.87,0.312,1.005,0.449,0.877,0.353,0.996,0.383,0.714,0.323,0.995,0.39,2.209
10,8,0.31,0.997,0.468,1.301,0.33,1.005,0.479,1.144,0.316,0.949,0.53,4.147,0.274,0.956,0.475,4.502
13,8,0.303,1,0.442,1.391,0.344,1.014,0.432,1.512,0.38,0.99,0.586,5.61,0.394,0.958,0.553,5.156
16,8,0.328,1.008,0.42,1.645,0.384,1.015,0.439,1.817,0.454,1.018,0.618,6.388,0.489,0.983,0.569,6.646
test09,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,9,0.991,1.071,0.778,0.414,0.984,1.068,0.789,0.472,0.995,1.105,0.769,5.742,0.995,1.105,0.769,5.66
4,9,0.94,1.064,0.737,0.569,0.997,1.068,0.776,0.648,0.994,1.105,0.764,7.429,0.994,1.105,0.764,7.355
7,9,0.908,1.057,0.729,0.71,0.996,1.068,0.772,0.874,0.913,1.016,0.799,2.738,0.998,1.055,0.813,3.336
10,9,0.912,1.063,0.711,1.037,0.955,1.066,0.739,0.939,0.989,1.052,0.813,3.915,0.99,1.051,0.808,3.891
13,9,0.929,1.062,0.706,1.331,0.97,1.068,0.738,1.434,0.962,1.048,0.8,4.546,1,1.054,0.81,4.475
16,9,0.882,1.059,0.706,1.761,0.892,1.062,0.714,1.65,0.96,1.049,0.8,5.25,0.983,1.056,0.798,5.489
test10,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,10,0.889,1.072,0.683,0.373,0.894,1.073,0.689,0.4,0.982,1.115,0.752,6.05,0.982,1.115,0.752,6.122
4,10,0.92,1.073,0.716,0.628,0.932,1.066,0.734,0.545,0.987,1.118,0.747,8.069,0.987,1.118,0.747,7.771
7,10,0.85,1.062,0.665,0.769,0.871,1.061,0.71,0.716,0.971,1.062,0.801,3.489,0.929,1.063,0.779,3.604
10,10,0.924,1.071,0.719,1.031,0.956,1.07,0.739,1.253,0.982,1.066,0.806,5.467,0.978,1.062,0.804,4.226
13,10,0.929,1.075,0.722,1.476,0.965,1.073,0.747,1.416,0.992,1.057,0.814,4.892,0.973,1.053,0.805,5.439
16,10,0.943,1.07,0.725,1.785,0.959,1.069,0.743,1.466,0.998,1.058,0.812,5.304,0.969,1.059,0.803,5.203
test11,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,11,0.643,1.048,0.49,0.433,0.645,1.047,0.494,0.46,0.87,1.107,0.666,6.516,0.87,1.107,0.666,6.582
4,11,0.67,1.033,0.562,0.75,0.688,1.039,0.546,0.763,0.973,1.109,0.763,7.938,0.973,1.109,0.763,7.655
7,11,0.61,1.026,0.573,0.992,0.638,1.032,0.565,0.895,0.973,1.066,0.817,3.433,0.929,1.057,0.784,3.48
10,11,0.609,1.023,0.565,1.32,0.658,1.036,0.574,1.312,0.971,1.052,0.822,3.782,0.942,1.046,0.767,4.005
13,11,0.688,1.036,0.567,1.58,0.654,1.04,0.553,1.313,0.936,1.058,0.802,4.586,0.947,1.053,0.802,4.876
16,11,0.749,1.044,0.609,2.111,0.703,1.041,0.622,1.954,0.928,1.052,0.816,5.319,0.944,1.057,0.8,5.452
test12,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
