test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
4,10,0.919,1.05,0.71,0.589,0.928,1.06,0.725,0.473,0.99,1.115,0.755,6.906,0.99,1.115,0.755,6.367
7,10,0.869,1.051,0.644,0.682,0.923,1.057,0.696,0.658,0.954,1.046,0.764,2.188,0.998,1.062,0.81,2.627
10,10,0.857,1.048,0.659,0.875,0.916,1.053,0.675,0.74,0.952,1.06,0.802,2.977,0.958,1.045,0.801,2.983
13,10,0.894,1.052,0.685,1.272,0.925,1.055,0.69,1.274,0.982,1.062,0.805,3.521,0.963,1.051,0.795,3.493
16,10,0.898,1.049,0.672,1.606,0.884,1.05,0.664,1.257,0.975,1.064,0.791,4.12,0.951,1.049,0.806,3.999
test11,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,11,0.301,1.023,0.366,0.17,0.306,1.027,0.375,0.233,0.33,1.102,0.302,5.847,0.33,1.102,0.302,5.86
4,11,0.26,0.984,0.46,0.546,0.27,0.987,0.489,0.417,0.325,1.104,0.29,6.488,0.325,1.104,0.29,6.715
7,11,0.254,0.979,0.484,0.66,0.243,0.983,0.45,0.634,0.258,0.951,0.407,2.533,0.219,0.963,0.375,2.067
10,11,0.252,0.982,0.493,0.848,0.24,0.991,0.45,0.806,0.161,0.913,0.435,3.508,0.152,0.897,0.463,3.425
13,11,0.211,0.979,0.419,1.26,0.23,0.989,0.452,1.005,0.168,0.899,0.412,4.073,0.155,0.898,0.476,4.045
16,11,0.233,0.982,0.394,1.482,0.259,0.998,0.406,1.398,0.166,0.898,0.432,4.935,0.159,0.892,0.384,4.876
test12,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,12,0.859,1.074,0.663,0.386,0.822,1.077,0.646,0.383,0.956,1.118,0.736,4.711,0.956,1.118,0.736,4.726
4,12,0.877,1.071,0.747,0.6,0.807,1.068,0.646,0.423,0.989,1.115,0.758,6.742,0.989,1.115,0.758,5.912
7,12,0.898,1.072,0.765,0.721,0.849,1.072,0.69,0.663,0.999,1.06,0.817,2.606,0.983,1.061,0.814,2.61
10,12,0.886,1.067,0.716,0.958,0.836,1.069,0.656,0.845,0.971,1.06,0.823,2.951,0.999,1.065,0.825,2.916
13,12,0.851,1.066,0.654,1.094,0.874,1.073,0.683,1.265,0.964,1.058,0.82,3.36,0.995,1.063,0.804,3.52
16,12,0.908,1.069,0.685,1.472,0.852,1.067,0.642,1.76,0.951,1.058,0.806,4.106,1,1.059,0.802,4.121
test13,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,13,0.948,1.063,0.769,0.399,0.902,1.058,0.728,0.301,0.969,1.104,0.762,4.52,0.969,1.104,0.762,4.588
4,13,0.963,1.064,0.758,0.546,0.963,1.064,0.779,0.561,0.978,1.109,0.755,6.678,0.978,1.109,0.755,6.027
7,13,0.882,1.055,0.698,0.733,0.952,1.065,0.745,0.609,0.954,1.05,0.787,2.677,0.985,1.049,0.804,2.627
10,13,0.904,1.059,0.727,0.78,0.91,1.059,0.708,0.717,0.959,1.047,0.809,2.997,0.962,1.058,0.785,3.016
13,13,0.914,1.064,0.734,1.079,0.96,1.068,0.743,1.184,0.973,1.051,0.812,3.425,0.984,1.055,0.795,3.538
16,13,0.92,1.065,0.74,1.373,0.949,1.063,0.719,1.463,0.968,1.057,0.813,4.054,0.982,1.063,0.801,4.13
test14,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,14,0.567,1.036,0.526,0.233,0.596,1.041,0.556,0.292,0.667,1.105,0.574,5.319,0.667,1.105,0.574,5.306
4,14,0.521,1.023,0.551,0.471,0.593,1.033,0.552,0.523,0.79,1.11,0.732,6.271,0.79,1.11,0.732,6.25
7,14,0.641,1.037,0.65,0.786,0.662,1.041,0.608,0.783,0.868,1.062,0.818,2.643,0.866,1.065,0.808,2.636
10,14,0.674,1.051,0.653,0.881,0.719,1.054,0.623,1.024,0.829,1.058,0.781,2.941,0.826,1.059,0.796,3.011
13,14,0.699,1.05,0.616,1.213,0.801,1.055,0.638,1.179,0.872,1.051,0.81,3.428,0.839,1.051,0.807,3.527
16,14,0.796,1.054,0.634,1.592,0.792,1.051,0.625,1.47,0.85,1.058,0.806,4.007,0.897,1.057,0.812,3.999
test15,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,15,0.921,1.074,0.754,0.308,0.929,1.074,0.739,0.255,0.995,1.118,0.776,4.322,0.995,1.118,0.776,4.329
4,15,0.989,1.073,0.793,0.489,0.986,1.073,0.774,0.511,0.996,1.113,0.771,5.517,0.996,1.113,0.771,5.677
7,15,0.961,1.069,0.751,0.769,0.982,1.073,0.761,0.609,0.92,1.026,0.825,2.578,0.963,1.046,0.787,1.351
10,15,0.988,1.075,0.765,0.717,0.989,1.074,0.77,0.707,0.992,1.055,0.814,2.92,0.991,1.051,0.812,2.938
13,15,0.981,1.076,0.741,0.911,0.981,1.075,0.739,1.231,1,1.061,0.805,3.393,0.999,1.063,0.813,3.388
16,15,0.973,1.076,0.736,1.149,0.97,1.074,0.729,1.146,1,1.059,0.811,3.915,0.982,1.061,0.804,4.038
test16,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,16,0.352,1.016,0.384,0.218,0.36,1.01,0.386,0.205,0.395,1.102,0.319,5.925,0.395,1.102,0.319,5.895
4,16,0.344,0.984,0.461,0.465,0.337,0.975,0.482,0.498,0.499,1.108,0.344,7.748,0.499,1.108,0.344,7.768
7,16,0.331,0.974,0.453,0.685,0.319,0.975,0.446,0.685,0.894,1.049,0.768,2.734,0.967,1.057,0.829,2.746
10,16,0.449,0.995,0.479,0.872,0.393,0.983,0.439,1.021,0.493,1.004,0.814,2.993,0.962,1.062,0.791,3.008
13,16,0.456,0.996,0.505,1.315,0.495,0.999,0.482,1.306,0.476,0.983,0.74,3.911,0.938,1.044,0.78,3.484
16,16,0.497,1.005,0.519,1.606,0.638,1.022,0.597,1.488,0.682,1.009,0.71,4.601,0.969,1.053,0.792,4.095
test17,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,17,0.997,1.077,0.785,0.311,0.994,1.077,0.791,0.334,0.998,1.109,0.782,4.25,0.998,1.109,0.782,4.265
4,17,1,1.073,0.792,0.419,1,1.073,0.788,0.418,0.999,1.109,0.776,6.346,0.999,1.109,0.776,6.066
7,17,0.994,1.071,0.777,0.705,0.997,1.07,0.779,0.66,0.999,1.067,0.826,2.564,0.999,1.053,0.821,2.614
10,17,0.981,1.07,0.762,0.916,0.986,1.069,0.757,0.726,1,1.063,0.809,2.862,0.979,1.062,0.81,2.942
13,17,0.969,1.067,0.739,0.987,0.971,1.067,0.741,0.898,1,1.057,0.814,3.378,0.973,1.055,0.811,3.477
16,17,0.965,1.069,0.734,1.103,0.966,1.068,0.728,1.396,0.99,1.058,0.805,4.011,0.967,1.067,0.807,4.035
test18,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,18,0.37,1.032,0.381,0.219,0.381,1.03,0.381,0.171,0.487,1.116,0.338,5.768,0.487,1.116,0.338,5.73
4,18,0.367,0.992,0.442,0.526,0.354,0.99,0.456,0.341,0.786,1.115,0.622,7.408,0.786,1.115,0.622,7.927
7,18,0.373,0.98,0.453,0.716,0.316,0.98,0.459,0.707,0.796,1.043,0.758,2.833,0.791,1.053,0.795,2.714
10,18,0.427,0.996,0.43,0.896,0.32,0.978,0.528,0.867,0.792,1.046,0.825,3.019,0.819,1.056,0.795,3.028
13,18,0.538,1.014,0.483,1.295,0.313,0.975,0.459,1,0.771,1.034,0.799,3.501,0.785,1.04,0.799,3.461
16,18,0.639,1.039,0.559,1.625,0.305,0.981,0.412,1.358,0.721,1.043,0.813,4.137,0.772,1.043,0.784,4.13
test19,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,19,0.338,1.005,0.358,0.201,0.396,1.011,0.376,0.269,0.419,1.098,0.32,5.727,0.419,1.098,0.32,5.719
4,19,0.401,0.97,0.442,0.525,0.414,0.972,0.46,0.481,0.627,1.103,0.415,8.73,0.627,1.103,0.415,7.503
