test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 15,  03 , 0.680, 1.171, 0.595, 2.134, 0.667, 1.163, 0.619, 2.274, 0.776, 1.160, 0.716, 5.321, 0.761, 1.149, 0.778, 5.457, 1.000, 1.000, 1.000, 0.000
test04
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  04 , 0.607, 1.225, 0.563, 0.295, 0.609, 1.221, 0.546, 0.397, 0.641, 1.314, 0.527, 5.439, 0.641, 1.314, 0.527, 5.468, 1.000, 1.000, 1.000, 0.000
 02,  04 , 0.625, 1.196, 0.642, 0.548, 0.638, 1.193, 0.600, 0.518, 0.659, 1.299, 0.554, 5.902, 0.659, 1.299, 0.554, 5.858, 1.000, 1.000, 1.000, 0.000
 03,  04 , 0.637, 1.181, 0.686, 0.627, 0.645, 1.174, 0.649, 0.557, 0.675, 1.300, 0.557, 6.631, 0.675, 1.300, 0.557, 6.677, 1.000, 1.000, 1.000, 0.000
 04,  04 , 0.629, 1.184, 0.670, 0.866, 0.635, 1.182, 0.644, 0.732, 0.679, 1.306, 0.561, 7.538, 0.679, 1.306, 0.561, 7.584, 1.000, 1.000, 1.000, 0.000
 05,  04 , 0.646, 1.172, 0.701, 1.006, 0.666, 1.186, 0.637, 0.997, 0.703, 1.299, 0.569, 8.343, 0.703, 1.299, 0.569, 8.380, 1.000, 1.000, 1.000, 0.000
 06,  04 , 0.649, 1.166, 0.705, 1.028, 0.651, 1.177, 0.659, 0.969, 0.653, 1.159, 0.656, 2.696, 0.749, 1.191, 0.759, 3.361, 1.000, 1.000, 1.000, 0.000
 07,  04 , 0.693, 1.182, 0.688, 0.984, 0.665, 1.176, 0.630, 0.802, 0.686, 1.106, 0.780, 3.251, 0.757, 1.172, 0.792, 3.673, 1.000, 1.000, 1.000, 0.000
 08,  04 , 0.671, 1.179, 0.664, 1.074, 0.680, 1.178, 0.679, 1.245, 0.781, 1.138, 0.782, 3.494, 0.740, 1.155, 0.839, 3.049, 1.000, 1.000, 1.000, 0.000
 09,  04 , 0.661, 1.176, 0.665, 1.263, 0.679, 1.172, 0.685, 1.342, 0.785, 1.184, 0.789, 3.445, 0.821, 1.168, 0.825, 3.152, 1.000, 1.000, 1.000, 0.000
 10,  04 , 0.659, 1.173, 0.637, 1.143, 0.674, 1.171, 0.651, 1.337, 0.716, 1.154, 0.801, 3.762, 0.733, 1.151, 0.796, 3.659, 1.000, 1.000, 1.000, 0.000
 11,  04 , 0.664, 1.170, 0.657, 1.614, 0.687, 1.168, 0.653, 1.690, 0.783, 1.132, 0.836, 4.000, 0.838, 1.124, 0.823, 4.566, 1.000, 1.000, 1.000, 0.000
 12,  04 , 0.669, 1.165, 0.624, 1.945, 0.712, 1.167, 0.656, 1.918, 0.814, 1.151, 0.839, 4.436, 0.765, 1.156, 0.846, 4.197, 1.000, 1.000, 1.000, 0.000
 13,  04 , 0.654, 1.164, 0.614, 1.740, 0.722, 1.164, 0.674, 2.378, 0.846, 1.127, 0.867, 4.538, 0.836, 1.156, 0.819, 4.637, 1.000, 1.000, 1.000, 0.000
 14,  04 , 0.669, 1.174, 0.612, 1.916, 0.698, 1.178, 0.650, 2.006, 0.829, 1.168, 0.818, 4.731, 0.770, 1.175, 0.784, 5.018, 1.000, 1.000, 1.000, 0.000
 15,  04 , 0.650, 1.182, 0.617, 2.471, 0.721, 1.181, 0.669, 2.139, 0.791, 1.162, 0.798, 5.413, 0.765, 1.158, 0.830, 5.276, 1.000, 1.000, 1.000, 0.000
test05
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  05 , 0.609, 1.217, 0.546, 0.348, 0.610, 1.209, 0.550, 0.287, 0.709, 1.315, 0.619, 5.575, 0.709, 1.315, 0.619, 5.437, 1.000, 1.000, 1.000, 0.000
 02,  05 , 0.633, 1.196, 0.593, 0.718, 0.643, 1.185, 0.624, 0.746, 0.713, 1.307, 0.638, 6.446, 0.713, 1.307, 0.638, 6.111, 1.000, 1.000, 1.000, 0.000
 03,  05 , 0.664, 1.190, 0.660, 0.752, 0.731, 1.200, 0.704, 0.807, 0.725, 1.306, 0.642, 6.621, 0.725, 1.306, 0.642, 6.809, 1.000, 1.000, 1.000, 0.000
 04,  05 , 0.683, 1.192, 0.674, 0.744, 0.729, 1.201, 0.690, 0.834, 0.732, 1.304, 0.645, 7.283, 0.732, 1.304, 0.645, 7.861, 1.000, 1.000, 1.000, 0.000
 05,  05 , 0.698, 1.180, 0.741, 1.209, 0.751, 1.195, 0.721, 1.214, 0.740, 1.301, 0.653, 8.812, 0.740, 1.301, 0.653, 9.215, 1.000, 1.000, 1.000, 0.000
 06,  05 , 0.675, 1.180, 0.695, 1.042, 0.733, 1.195, 0.711, 1.249, 0.739, 1.190, 0.710, 2.976, 0.684, 1.130, 0.758, 3.262, 1.000, 1.000, 1.000, 0.000
 07,  05 , 0.658, 1.187, 0.666, 1.536, 0.731, 1.193, 0.677, 1.296, 0.756, 1.212, 0.767, 3.442, 0.720, 1.144, 0.801, 4.015, 1.000, 1.000, 1.000, 0.000
 08,  05 , 0.663, 1.182, 0.677, 1.289, 0.725, 1.190, 0.713, 1.196, 0.755, 1.181, 0.846, 3.563, 0.676, 1.026, 0.854, 3.510, 1.000, 1.000, 1.000, 0.000
 09,  05 , 0.659, 1.179, 0.679, 1.400, 0.723, 1.191, 0.678, 1.741, 0.806, 1.167, 0.858, 3.620, 0.733, 1.118, 0.821, 3.624, 1.000, 1.000, 1.000, 0.000
 10,  05 , 0.643, 1.175, 0.687, 1.344, 0.723, 1.193, 0.660, 1.388, 0.823, 1.157, 0.856, 3.420, 0.742, 1.193, 0.866, 4.049, 1.000, 1.000, 1.000, 0.000
 11,  05 , 0.655, 1.174, 0.697, 1.772, 0.732, 1.189, 0.680, 1.858, 0.819, 1.150, 0.862, 4.282, 0.749, 1.184, 0.873, 4.219, 1.000, 1.000, 1.000, 0.000
 12,  05 , 0.649, 1.176, 0.703, 1.512, 0.719, 1.191, 0.679, 1.986, 0.788, 1.123, 0.863, 4.430, 0.766, 1.168, 0.895, 5.188, 1.000, 1.000, 1.000, 0.000
 13,  05 , 0.724, 1.191, 0.691, 2.563, 0.718, 1.191, 0.674, 2.471, 0.820, 1.179, 0.852, 5.016, 0.763, 1.192, 0.885, 4.629, 1.000, 1.000, 1.000, 0.000
 14,  05 , 0.728, 1.190, 0.697, 2.508, 0.720, 1.191, 0.694, 2.515, 0.851, 1.166, 0.863, 5.054, 0.769, 1.161, 0.891, 5.685, 1.000, 1.000, 1.000, 0.000
 15,  05 , 0.720, 1.187, 0.698, 2.729, 0.725, 1.190, 0.692, 2.757, 0.778, 1.162, 0.820, 5.663, 0.725, 1.165, 0.870, 6.874, 1.000, 1.000, 1.000, 0.000
test06
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,GT,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  06 , 0.649, 1.167, 0.623, 0.558, 0.613, 1.173, 0.568, 0.365, 0.691, 1.246, 0.632, 6.814, 0.691, 1.246, 0.632, 6.518, 1.000, 1.000, 1.000, 0.000
