test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 06,  05 , 0.924, 1.060, 0.733, 0.651, 0.989, 1.075, 0.775, 0.615, 0.996, 1.054, 0.810, 2.529, 0.931, 1.060, 0.796, 2.533
 07,  05 , 0.895, 1.055, 0.713, 0.594, 0.947, 1.071, 0.724, 0.583, 0.979, 1.059, 0.798, 2.586, 0.937, 1.053, 0.803, 2.610
 08,  05 , 0.887, 1.056, 0.709, 0.779, 0.949, 1.070, 0.731, 0.748, 0.980, 1.057, 0.818, 2.911, 0.932, 1.055, 0.801, 2.862
 09,  05 , 0.911, 1.059, 0.732, 1.063, 0.951, 1.069, 0.726, 0.963, 0.978, 1.056, 0.818, 3.761, 0.998, 1.067, 0.821, 3.616
 10,  05 , 0.917, 1.060, 0.730, 0.971, 0.950, 1.066, 0.721, 0.965, 0.980, 1.058, 0.813, 2.997, 0.999, 1.067, 0.817, 2.985
 11,  05 , 0.930, 1.067, 0.738, 0.971, 0.942, 1.067, 0.720, 1.039, 0.981, 1.058, 0.807, 3.202, 1.000, 1.063, 0.811, 3.167
 12,  05 , 0.936, 1.070, 0.723, 1.139, 0.947, 1.068, 0.730, 0.989, 0.982, 1.057, 0.797, 3.362, 1.000, 1.064, 0.809, 3.282
 13,  05 , 0.941, 1.069, 0.728, 1.150, 0.947, 1.071, 0.721, 1.045, 0.982, 1.056, 0.805, 3.526, 0.991, 1.064, 0.812, 3.504
 14,  05 , 0.945, 1.070, 0.721, 1.419, 0.944, 1.071, 0.716, 1.008, 0.982, 1.055, 0.805, 3.710, 0.992, 1.053, 0.817, 3.671
 15,  05 , 0.958, 1.074, 0.723, 1.452, 0.941, 1.070, 0.718, 1.421, 0.983, 1.055, 0.802, 4.012, 0.984, 1.059, 0.805, 3.880
test06
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  06 , 0.558, 1.038, 0.455, 0.255, 0.547, 1.040, 0.439, 0.256, 0.619, 1.110, 0.402, 6.041, 0.619, 1.110, 0.402, 6.012
 02,  06 , 0.535, 1.015, 0.468, 0.416, 0.526, 1.021, 0.486, 0.354, 0.778, 1.108, 0.514, 6.460, 0.778, 1.108, 0.514, 6.446
 03,  06 , 0.558, 1.009, 0.487, 0.421, 0.551, 1.010, 0.521, 0.498, 0.981, 1.109, 0.742, 6.402, 0.981, 1.109, 0.742, 6.424
 04,  06 , 0.554, 1.006, 0.497, 0.589, 0.582, 1.009, 0.508, 0.576, 0.987, 1.109, 0.763, 6.337, 0.987, 1.109, 0.763, 6.332
 05,  06 , 0.574, 1.010, 0.488, 0.638, 0.602, 1.006, 0.519, 0.626, 0.979, 1.109, 0.761, 7.028, 0.979, 1.109, 0.761, 6.983
 06,  06 , 0.568, 1.005, 0.521, 0.657, 0.631, 1.011, 0.555, 0.736, 0.988, 1.061, 0.815, 2.542, 0.972, 1.057, 0.795, 2.506
 07,  06 , 0.615, 1.008, 0.555, 0.828, 0.628, 1.016, 0.561, 0.761, 0.980, 1.063, 0.820, 2.538, 0.977, 1.059, 0.813, 2.615
 08,  06 , 0.625, 1.015, 0.543, 0.913, 0.629, 1.022, 0.554, 0.853, 0.988, 1.056, 0.819, 2.670, 0.979, 1.048, 0.825, 2.747
 09,  06 , 0.710, 1.030, 0.610, 0.970, 0.675, 1.026, 0.572, 1.000, 0.987, 1.066, 0.808, 2.870, 0.980, 1.061, 0.810, 2.957
 10,  06 , 0.702, 1.030, 0.608, 0.984, 0.708, 1.029, 0.584, 1.065, 0.990, 1.060, 0.821, 3.011, 0.980, 1.049, 0.815, 2.961
