test01
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 06,  04 , 0.650, 1.038, 0.610, 0.615, 0.704, 1.041, 0.662, 0.701, 0.880, 1.045, 0.762, 2.671, 0.878, 1.051, 0.755, 2.671
 07,  04 , 0.622, 1.034, 0.563, 0.748, 0.674, 1.040, 0.652, 0.652, 0.852, 1.052, 0.775, 2.745, 0.894, 1.054, 0.760, 2.807
 08,  04 , 0.650, 1.045, 0.609, 0.783, 0.701, 1.048, 0.631, 0.836, 0.841, 1.052, 0.768, 2.857, 0.871, 1.059, 0.801, 2.865
 09,  04 , 0.685, 1.052, 0.581, 0.854, 0.700, 1.045, 0.635, 0.906, 0.864, 1.043, 0.776, 3.003, 0.875, 1.052, 0.803, 2.886
 10,  04 , 0.729, 1.054, 0.607, 1.075, 0.722, 1.048, 0.622, 1.073, 0.883, 1.054, 0.778, 3.239, 0.878, 1.055, 0.809, 3.097
 11,  04 , 0.735, 1.052, 0.608, 0.900, 0.734, 1.051, 0.602, 0.986, 0.871, 1.053, 0.773, 3.479, 0.877, 1.054, 0.810, 3.212
 12,  04 , 0.732, 1.052, 0.606, 1.260, 0.747, 1.052, 0.605, 1.262, 0.877, 1.043, 0.779, 3.678, 0.877, 1.058, 0.804, 3.393
 13,  04 , 0.702, 1.048, 0.589, 1.358, 0.763, 1.055, 0.604, 1.349, 0.853, 1.047, 0.751, 3.727, 0.881, 1.056, 0.800, 3.599
 14,  04 , 0.737, 1.053, 0.598, 1.388, 0.800, 1.059, 0.641, 1.441, 0.849, 1.052, 0.764, 4.039, 0.876, 1.051, 0.799, 3.855
 15,  04 , 0.759, 1.057, 0.613, 1.451, 0.790, 1.058, 0.618, 1.341, 0.869, 1.059, 0.778, 4.185, 0.869, 1.049, 0.791, 3.995
test05
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  05 , 0.945, 1.068, 0.732, 0.417, 0.928, 1.063, 0.735, 0.347, 0.996, 1.107, 0.779, 4.674, 0.996, 1.107, 0.779, 4.709
 02,  05 , 0.959, 1.060, 0.753, 0.466, 0.938, 1.062, 0.743, 0.489, 0.997, 1.105, 0.778, 4.804, 0.997, 1.105, 0.778, 4.918
 03,  05 , 0.977, 1.065, 0.769, 0.603, 0.942, 1.062, 0.738, 0.485, 0.998, 1.107, 0.778, 6.235, 0.998, 1.107, 0.778, 5.568
 04,  05 , 0.932, 1.064, 0.720, 0.499, 0.958, 1.064, 0.752, 0.544, 0.999, 1.105, 0.777, 5.871, 0.999, 1.105, 0.777, 5.859
 05,  05 , 0.949, 1.060, 0.753, 0.596, 0.958, 1.063, 0.754, 0.543, 0.999, 1.107, 0.776, 6.251, 0.999, 1.107, 0.776, 6.297
 06,  05 , 0.958, 1.063, 0.757, 0.640, 0.961, 1.064, 0.746, 0.713, 0.986, 1.048, 0.809, 2.454, 0.990, 1.048, 0.825, 2.452
 07,  05 , 0.960, 1.064, 0.752, 0.756, 0.955, 1.066, 0.739, 0.588, 0.989, 1.046, 0.818, 2.525, 0.990, 1.056, 0.830, 2.453
 08,  05 , 0.957, 1.067, 0.744, 0.706, 0.966, 1.067, 0.743, 0.774, 0.990, 1.055, 0.814, 2.679, 0.971, 1.054, 0.814, 2.677
 09,  05 , 0.965, 1.069, 0.754, 0.908, 0.955, 1.069, 0.742, 0.747, 0.999, 1.058, 0.812, 2.858, 0.964, 1.055, 0.814, 2.779
 10,  05 , 0.968, 1.068, 0.750, 0.962, 0.952, 1.068, 0.730, 0.897, 0.999, 1.061, 0.820, 2.952, 0.971, 1.051, 0.807, 3.020
 11,  05 , 0.967, 1.066, 0.752, 0.906, 0.948, 1.066, 0.727, 0.968, 1.000, 1.062, 0.831, 2.999, 0.973, 1.052, 0.813, 3.161
 12,  05 , 0.967, 1.068, 0.747, 1.044, 0.944, 1.064, 0.729, 1.062, 0.999, 1.061, 0.818, 3.245, 0.973, 1.052, 0.818, 3.305
 13,  05 , 0.971, 1.069, 0.744, 1.136, 0.940, 1.063, 0.729, 1.062, 1.000, 1.066, 0.809, 3.469, 0.974, 1.061, 0.809, 3.479
 14,  05 , 0.972, 1.069, 0.742, 1.140, 0.937, 1.062, 0.729, 1.421, 1.000, 1.061, 0.808, 3.697, 0.974, 1.058, 0.803, 3.744
 15,  05 , 0.974, 1.070, 0.740, 1.291, 0.930, 1.063, 0.708, 1.324, 1.000, 1.056, 0.806, 3.851, 0.975, 1.057, 0.816, 3.918
test06
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  06 , 0.544, 1.051, 0.443, 0.222, 0.527, 1.048, 0.443, 0.288, 0.647, 1.129, 0.429, 6.067, 0.647, 1.129, 0.429, 6.085
 02,  06 , 0.577, 1.040, 0.516, 0.430, 0.524, 1.032, 0.490, 0.309, 0.753, 1.127, 0.519, 6.365, 0.753, 1.127, 0.519, 6.355
 03,  06 , 0.573, 1.037, 0.527, 0.414, 0.522, 1.027, 0.517, 0.370, 0.847, 1.124, 0.606, 6.924, 0.847, 1.124, 0.606, 7.167
 04,  06 , 0.616, 1.036, 0.607, 0.542, 0.581, 1.032, 0.592, 0.591, 0.906, 1.121, 0.675, 7.144, 0.906, 1.121, 0.675, 7.193
 05,  06 , 0.589, 1.030, 0.630, 0.538, 0.547, 1.032, 0.548, 0.511, 0.937, 1.121, 0.698, 7.706, 0.937, 1.121, 0.698, 7.679
 06,  06 , 0.574, 1.033, 0.569, 0.761, 0.560, 1.032, 0.569, 0.750, 0.957, 1.063, 0.788, 2.643, 0.908, 1.066, 0.743, 2.628
 07,  06 , 0.572, 1.036, 0.587, 0.711, 0.579, 1.035, 0.545, 0.794, 0.936, 1.064, 0.789, 2.722, 0.542, 0.967, 0.811, 2.726
 08,  06 , 0.545, 1.030, 0.569, 0.835, 0.595, 1.032, 0.572, 0.911, 0.943, 1.056, 0.807, 2.730, 0.487, 0.986, 0.710, 3.041
 09,  06 , 0.574, 1.044, 0.551, 0.859, 0.560, 1.034, 0.546, 0.858, 0.955, 1.064, 0.804, 2.956, 0.559, 1.004, 0.697, 3.154
 10,  06 , 0.577, 1.043, 0.525, 1.079, 0.548, 1.037, 0.533, 0.930, 0.947, 1.058, 0.802, 3.104, 0.693, 1.009, 0.685, 3.375
 11,  06 , 0.612, 1.043, 0.566, 1.165, 0.530, 1.035, 0.549, 0.999, 0.908, 1.054, 0.764, 3.264, 0.739, 1.017, 0.739, 3.614
 12,  06 , 0.601, 1.043, 0.543, 1.072, 0.540, 1.037, 0.518, 1.050, 0.920, 1.053, 0.808, 3.429, 0.830, 1.042, 0.800, 3.579
 13,  06 , 0.633, 1.045, 0.523, 1.367, 0.566, 1.041, 0.543, 1.378, 0.907, 1.064, 0.811, 3.582, 0.834, 1.052, 0.801, 3.624
 14,  06 , 0.646, 1.046, 0.520, 1.425, 0.597, 1.042, 0.553, 1.476, 0.909, 1.058, 0.801, 3.770, 0.879, 1.046, 0.804, 3.805
 15,  06 , 0.660, 1.047, 0.508, 1.582, 0.625, 1.045, 0.571, 1.594, 0.906, 1.053, 0.801, 4.035, 0.896, 1.052, 0.807, 3.995
test07
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  07 , 0.790, 1.063, 0.663, 0.284, 0.763, 1.062, 0.620, 0.349, 0.863, 1.115, 0.692, 4.974, 0.863, 1.115, 0.692, 5.024
 02,  07 , 0.829, 1.063, 0.696, 0.485, 0.756, 1.057, 0.640, 0.454, 0.866, 1.113, 0.731, 5.437, 0.866, 1.113, 0.731, 5.449
 03,  07 , 0.873, 1.066, 0.734, 0.536, 0.804, 1.055, 0.693, 0.533, 0.869, 1.112, 0.741, 5.967, 0.869, 1.112, 0.741, 6.039
 04,  07 , 0.906, 1.068, 0.733, 0.497, 0.810, 1.056, 0.673, 0.533, 0.870, 1.116, 0.720, 6.694, 0.870, 1.116, 0.720, 6.704
 05,  07 , 0.896, 1.068, 0.696, 0.593, 0.776, 1.053, 0.655, 0.595, 0.869, 1.118, 0.716, 7.406, 0.869, 1.118, 0.716, 7.443
 06,  07 , 0.857, 1.064, 0.689, 0.603, 0.738, 1.051, 0.627, 0.594, 0.862, 1.067, 0.747, 2.075, 0.943, 1.058, 0.784, 2.599
 07,  07 , 0.897, 1.071, 0.724, 0.770, 0.731, 1.049, 0.615, 0.710, 0.896, 1.062, 0.803, 2.656, 0.964, 1.075, 0.810, 2.758
 08,  07 , 0.880, 1.065, 0.716, 0.749, 0.727, 1.048, 0.624, 0.916, 0.902, 1.052, 0.809, 2.762, 0.967, 1.074, 0.804, 2.764
 09,  07 , 0.914, 1.070, 0.747, 0.999, 0.716, 1.050, 0.654, 0.938, 0.881, 1.060, 0.806, 2.897, 0.942, 1.068, 0.805, 2.847
 10,  07 , 0.876, 1.068, 0.712, 0.915, 0.697, 1.046, 0.640, 0.909, 0.865, 1.066, 0.799, 3.082, 0.932, 1.068, 0.779, 3.269
 11,  07 , 0.905, 1.070, 0.736, 0.971, 0.733, 1.052, 0.660, 1.144, 0.872, 1.058, 0.795, 3.175, 0.970, 1.054, 0.807, 3.264
 12,  07 , 0.905, 1.072, 0.713, 0.970, 0.711, 1.048, 0.642, 0.883, 0.875, 1.064, 0.782, 3.352, 0.943, 1.061, 0.806, 3.370
 13,  07 , 0.889, 1.068, 0.700, 1.130, 0.737, 1.048, 0.639, 1.146, 0.907, 1.063, 0.798, 3.540, 0.949, 1.072, 0.809, 3.509
 14,  07 , 0.845, 1.066, 0.664, 1.034, 0.728, 1.048, 0.601, 1.433, 0.910, 1.062, 0.813, 3.680, 0.950, 1.063, 0.815, 3.698
 15,  07 , 0.840, 1.066, 0.637, 1.317, 0.744, 1.051, 0.647, 1.542, 0.912, 1.058, 0.807, 3.888, 0.951, 1.063, 0.812, 3.825
test08
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  08 , 0.670, 1.056, 0.520, 0.285, 0.698, 1.058, 0.517, 0.353, 0.798, 1.122, 0.575, 5.746, 0.798, 1.122, 0.575, 5.730
 02,  08 , 0.656, 1.038, 0.524, 0.401, 0.725, 1.049, 0.563, 0.485, 0.863, 1.121, 0.657, 6.153, 0.863, 1.121, 0.657, 6.146
 03,  08 , 0.696, 1.034, 0.563, 0.454, 0.761, 1.045, 0.574, 0.572, 0.890, 1.119, 0.704, 6.753, 0.890, 1.119, 0.704, 6.735
 04,  08 , 0.734, 1.032, 0.635, 0.586, 0.751, 1.049, 0.590, 0.543, 0.903, 1.118, 0.715, 7.137, 0.903, 1.118, 0.715, 7.080
 05,  08 , 0.719, 1.033, 0.632, 0.634, 0.747, 1.040, 0.585, 0.548, 0.907, 1.117, 0.716, 7.782, 0.907, 1.117, 0.716, 7.730
 06,  08 , 0.732, 1.034, 0.620, 0.673, 0.771, 1.044, 0.605, 0.706, 0.909, 1.057, 0.769, 2.682, 0.899, 1.056, 0.775, 2.703
 07,  08 , 0.723, 1.040, 0.573, 0.739, 0.806, 1.047, 0.662, 0.784, 0.922, 1.062, 0.783, 2.804, 0.918, 1.064, 0.794, 2.776
 08,  08 , 0.721, 1.035, 0.575, 0.923, 0.824, 1.051, 0.664, 0.843, 0.936, 1.056, 0.805, 2.845, 0.920, 1.055, 0.795, 2.941
 09,  08 , 0.728, 1.040, 0.602, 0.921, 0.796, 1.051, 0.647, 0.927, 0.892, 1.062, 0.779, 3.001, 0.875, 1.058, 0.766, 3.036
 10,  08 , 0.765, 1.046, 0.591, 1.002, 0.786, 1.050, 0.623, 1.001, 0.906, 1.060, 0.809, 3.155, 0.910, 1.057, 0.776, 3.226
 11,  08 , 0.760, 1.044, 0.597, 0.996, 0.792, 1.053, 0.607, 1.060, 0.905, 1.064, 0.800, 3.262, 0.910, 1.076, 0.798, 3.328
 12,  08 , 0.776, 1.047, 0.610, 1.190, 0.801, 1.052, 0.631, 1.159, 0.910, 1.069, 0.808, 3.371, 0.930, 1.064, 0.790, 3.525
 13,  08 , 0.823, 1.058, 0.625, 1.256, 0.796, 1.056, 0.610, 1.334, 0.914, 1.058, 0.809, 3.634, 0.928, 1.052, 0.797, 3.711
 14,  08 , 0.824, 1.057, 0.641, 1.294, 0.816, 1.056, 0.627, 1.436, 0.905, 1.062, 0.799, 3.808, 0.935, 1.070, 0.792, 3.855
 15,  08 , 0.816, 1.057, 0.628, 1.356, 0.817, 1.059, 0.624, 1.584, 0.905, 1.057, 0.786, 4.168, 0.938, 1.068, 0.783, 4.143
test09
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  09 , 0.262, 1.020, 0.357, 0.259, 0.269, 1.018, 0.379, 0.248, 0.319, 1.105, 0.302, 6.083, 0.319, 1.105, 0.302, 6.076
 02,  09 , 0.259, 1.003, 0.389, 0.415, 0.278, 0.992, 0.437, 0.380, 0.380, 1.104, 0.324, 6.556, 0.380, 1.104, 0.324, 6.524
 03,  09 , 0.240, 0.992, 0.436, 0.436, 0.250, 0.991, 0.415, 0.504, 0.388, 1.109, 0.352, 7.357, 0.388, 1.109, 0.352, 7.773
 04,  09 , 0.227, 0.987, 0.435, 0.505, 0.277, 0.991, 0.440, 0.555, 0.395, 1.115, 0.394, 7.842, 0.395, 1.115, 0.394, 7.849
 05,  09 , 0.229, 0.980, 0.411, 0.544, 0.267, 0.985, 0.445, 0.438, 0.515, 1.116, 0.482, 8.477, 0.515, 1.116, 0.482, 8.488
 06,  09 , 0.218, 0.982, 0.420, 0.589, 0.231, 0.990, 0.453, 0.745, 0.502, 1.047, 0.619, 2.690, 0.459, 1.060, 0.628, 2.760
 07,  09 , 0.208, 0.986, 0.435, 0.763, 0.284, 1.000, 0.447, 0.754, 0.758, 1.051, 0.803, 2.770, 0.609, 1.041, 0.716, 2.774
 08,  09 , 0.227, 0.988, 0.427, 0.767, 0.322, 1.013, 0.476, 0.901, 0.781, 1.054, 0.824, 2.832, 0.803, 1.047, 0.738, 2.882
 09,  09 , 0.215, 0.990, 0.426, 0.901, 0.316, 1.015, 0.479, 0.915, 0.787, 1.051, 0.816, 2.886, 0.808, 1.055, 0.748, 3.056
 10,  09 , 0.219, 0.990, 0.407, 0.827, 0.312, 1.013, 0.447, 1.004, 0.842, 1.061, 0.811, 2.983, 0.872, 1.040, 0.783, 3.146
 11,  09 , 0.223, 0.992, 0.396, 0.904, 0.330, 1.013, 0.454, 1.070, 0.801, 1.049, 0.807, 3.171, 0.876, 1.049, 0.818, 3.190
 12,  09 , 0.227, 0.989, 0.379, 1.062, 0.308, 1.010, 0.445, 1.152, 0.774, 1.052, 0.810, 3.351, 0.847, 1.050, 0.809, 3.391
 13,  09 , 0.229, 0.994, 0.371, 1.251, 0.307, 1.016, 0.445, 1.243, 0.764, 1.048, 0.792, 3.527, 0.811, 1.060, 0.800, 3.655
 14,  09 , 0.227, 0.996, 0.378, 1.351, 0.336, 1.024, 0.457, 1.438, 0.739, 1.058, 0.797, 3.847, 0.779, 1.046, 0.788, 3.788
 15,  09 , 0.229, 0.993, 0.379, 1.336, 0.355, 1.026, 0.435, 1.426, 0.705, 1.052, 0.791, 4.026, 0.743, 1.050, 0.810, 3.956
test10
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
 01,  10 , 0.857, 1.070, 0.668, 0.451, 0.874, 1.069, 0.701, 0.477, 0.985, 1.117, 0.770, 4.893, 0.985, 1.117, 0.770, 4.944
 02,  10 , 0.878, 1.068, 0.686, 0.530, 0.938, 1.075, 0.739, 0.529, 0.987, 1.122, 0.766, 5.160, 0.987, 1.122, 0.766, 5.140
 03,  10 , 0.928, 1.071, 0.737, 0.561, 0.925, 1.078, 0.725, 0.532, 0.986, 1.122, 0.764, 6.021, 0.986, 1.122, 0.764, 5.587
 04,  10 , 0.941, 1.078, 0.744, 0.544, 0.920, 1.080, 0.731, 0.496, 0.983, 1.123, 0.760, 6.230, 0.983, 1.123, 0.760, 6.252
 05,  10 , 0.935, 1.078, 0.737, 0.588, 0.916, 1.080, 0.719, 0.546, 0.981, 1.124, 0.752, 5.942, 0.981, 1.124, 0.752, 6.014
 06,  10 , 0.928, 1.072, 0.741, 0.703, 0.920, 1.077, 0.725, 0.642, 0.992, 1.068, 0.845, 2.479, 0.980, 1.071, 0.810, 2.444
 07,  10 , 0.935, 1.078, 0.729, 0.657, 0.924, 1.081, 0.723, 0.651, 0.998, 1.077, 0.819, 2.570, 0.989, 1.074, 0.816, 2.588
 08,  10 , 0.936, 1.076, 0.720, 0.865, 0.927, 1.075, 0.738, 0.844, 0.998, 1.061, 0.831, 2.569, 0.998, 1.080, 0.829, 2.671
 09,  10 , 0.937, 1.072, 0.731, 0.909, 0.935, 1.078, 0.735, 0.909, 0.999, 1.077, 0.817, 2.824, 1.000, 1.067, 0.828, 2.786
 10,  10 , 0.911, 1.072, 0.702, 0.846, 0.907, 1.076, 0.709, 0.902, 1.000, 1.061, 0.818, 3.024, 1.000, 1.073, 0.831, 2.890
 11,  10 , 0.909, 1.067, 0.702, 0.904, 0.913, 1.072, 0.717, 1.049, 0.999, 1.057, 0.818, 3.092, 0.999, 1.070, 0.833, 2.988
 12,  10 , 0.899, 1.068, 0.679, 1.139, 0.899, 1.072, 0.695, 1.041, 1.000, 1.064, 0.820, 3.212, 1.000, 1.074, 0.810, 3.285
 13,  10 , 0.886, 1.068, 0.698, 1.127, 0.899, 1.071, 0.700, 1.039, 1.000, 1.061, 0.809, 3.427, 1.000, 1.069, 0.831, 3.359
 14,  10 , 0.870, 1.069, 0.676, 1.353, 0.925, 1.075, 0.715, 1.223, 0.995, 1.061, 0.810, 3.648, 1.000, 1.072, 0.818, 3.611
